r_no,b_ref,ci_offsett,co_offsett,Paid,demo_status
308,197,1,2,TRUE,Paid
309,128,0,1,TRUE,Paid
309,113,1,2,TRUE,Paid
309,138,2,3,TRUE,Paid
310,123,0,1,TRUE,Paid
310,204,1,2,TRUE,Paid
311,227,0,1,TRUE,Paid
312,136,0,7,FALSE,Due to Checkout
305,139,10,11,FALSE,Future Booking
309,139,10,11,FALSE,Future Booking
203,140,26,29,FALSE,Future Booking
204,140,26,29,FALSE,Future Booking
309,140,26,29,FALSE,Future Booking
104,141,18,19,FALSE,Future Booking
305,141,18,19,FALSE,Future Booking
309,141,18,19,FALSE,Future Booking
201,144,13,16,FALSE,Future Booking
304,144,13,16,FALSE,Future Booking
102,145,10,13,FALSE,Future Booking
205,145,10,13,FALSE,Future Booking
107,146,16,19,FALSE,Future Booking
208,146,16,19,FALSE,Future Booking
209,146,16,19,FALSE,Future Booking
205,149,3,6,TRUE,Paid
308,149,3,6,TRUE,Paid
303,151,7,10,FALSE,Checkin today
308,151,7,10,FALSE,Checkin today
103,152,16,19,FALSE,Future Booking
201,152,16,19,FALSE,Future Booking
207,152,16,19,FALSE,Future Booking
103,155,19,22,FALSE,Future Booking
206,155,19,22,FALSE,Future Booking
303,155,19,22,FALSE,Future Booking
108,157,13,16,FALSE,Future Booking
205,157,13,16,FALSE,Future Booking
212,167,12,15,FALSE,Future Booking
307,167,12,15,FALSE,Future Booking
101,168,8,11,FALSE,Future Booking
302,168,8,11,FALSE,Future Booking
311,168,8,11,FALSE,Future Booking
207,169,19,22,FALSE,Future Booking
301,169,19,22,FALSE,Future Booking
202,173,16,19,FALSE,Future Booking
210,173,16,19,FALSE,Future Booking
306,173,16,19,FALSE,Future Booking
201,178,16,19,FALSE,Future Booking
205,178,16,19,FALSE,Future Booking
102,179,16,19,FALSE,Future Booking
105,179,16,19,FALSE,Future Booking
106,179,16,19,FALSE,Future Booking
108,180,19,22,FALSE,Future Booking
309,180,19,22,FALSE,Future Booking
202,181,19,22,FALSE,Future Booking
212,181,19,22,FALSE,Future Booking
105,186,22,25,FALSE,Future Booking
309,186,22,25,FALSE,Future Booking
102,187,22,25,FALSE,Future Booking
210,187,22,25,FALSE,Future Booking
212,187,22,25,FALSE,Future Booking
106,188,29,32,FALSE,Future Booking
203,188,29,32,FALSE,Future Booking
309,188,29,32,FALSE,Future Booking
101,189,11,14,FALSE,Future Booking
308,189,11,14,FALSE,Future Booking
301,190,14,17,FALSE,Future Booking
305,190,14,17,FALSE,Future Booking
102,191,13,16,FALSE,Future Booking
311,191,13,16,FALSE,Future Booking
203,192,16,19,FALSE,Future Booking
311,192,16,19,FALSE,Future Booking
212,198,15,18,FALSE,Future Booking
309,198,15,18,FALSE,Future Booking
201,200,19,22,FALSE,Future Booking
209,200,19,22,FALSE,Future Booking
206,202,25,28,FALSE,Future Booking
210,202,25,28,FALSE,Future Booking
308,202,25,28,FALSE,Future Booking
208,203,19,22,FALSE,Future Booking
308,203,19,22,FALSE,Future Booking
205,205,22,25,FALSE,Future Booking
208,205,22,25,FALSE,Future Booking
205,206,6,9,FALSE,Remain Occupied
307,206,6,9,FALSE,Remain Occupied
106,208,22,25,FALSE,Future Booking
301,208,22,25,FALSE,Future Booking
303,208,22,25,FALSE,Future Booking
107,209,25,28,FALSE,Future Booking
211,209,25,28,FALSE,Future Booking
301,209,25,28,FALSE,Future Booking
202,211,22,25,FALSE,Future Booking
304,211,22,25,FALSE,Future Booking
203,212,29,32,FALSE,Future Booking
309,212,29,32,FALSE,Future Booking
104,216,28,31,FALSE,Future Booking
206,216,28,31,FALSE,Future Booking
205,218,25,28,FALSE,Future Booking
207,218,25,28,FALSE,Future Booking
310,218,25,28,FALSE,Future Booking
206,222,31,34,FALSE,Future Booking
307,222,31,34,FALSE,Future Booking
207,225,31,34,FALSE,Future Booking
308,225,31,34,FALSE,Future Booking
204,226,34,37,FALSE,Future Booking
307,226,34,37,FALSE,Future Booking
108,228,29,32,FALSE,Future Booking
204,228,29,32,FALSE,Future Booking
306,228,29,32,FALSE,Future Booking
101,229,22,25,FALSE,Future Booking
206,229,22,25,FALSE,Future Booking
305,229,22,25,FALSE,Future Booking
207,236,28,31,FALSE,Future Booking
301,236,28,31,FALSE,Future Booking
311,236,28,31,FALSE,Future Booking
202,237,25,28,FALSE,Future Booking
302,237,25,28,FALSE,Future Booking
108,241,32,35,FALSE,Future Booking
203,241,32,35,FALSE,Future Booking
