e_id,cdp_name,cpd_year,data_origin
106,Management Principles Workshop (Classroom),2024,demo
106,Self Awareness and Personal Impact Workshop (Classroom),2024,demo
106,CITB - CDM for Principal Designers ,2024,demo
106,"Norfolk constructing excellence Sustainable Construction (or not!"") Talk, Q&A with Ed Gillespie",2023,demo
6,CIBSE - Building Safety Act 2022,2022,demo
6,Norse Group - Building Safety Act Training,2024,demo
6,LABC Building Regulations Fire Safety Fundamentals,2024,demo
114,CDM update for Principal Designers,2024,demo
114,"Biodiversity Net Gain, Environment Bank",2024,demo
114,CIHT Learning -Designing and Implementing Rain Gardens,2024,demo
114,"Keeping updated through 'Car’ magazine, and ‘Auto Mundial’ TV on: EV’s, PHEV’s, HFCEV’s",2024,demo
5,Building Regulations Review ,2024,demo
10,"Protecting Structures and Lives, Polyroof ",2024,demo
10,Managing Health & Safety in architectural design (In practice),2024,demo
10,Understanding Changes to Building Safety Act 2022,2024,demo
10,Introduction to Part O & Key Design Considerations (In practice)  ,2024,demo
10,"Secondary glazing: the retrofit solution to building sustainability, Selectaglaze",2024,demo
10,Improving environmental performance of heritage buildings (In practice),2024,demo
10,Envirograf Passive Fire Products,2024,demo
10,Designing for Neurodiversity: making informed design decisions,2024,demo
10,Materials and calculating carbon(In practice)  ,2024,demo
14,Fire & Life Safety,2024,demo
14,Managing Health & Safety in architectural design ,2024,demo
14,Envirograf Passive Fire Protection,2024,demo
8,Climate Guide,2024,demo
8,Biodiversity Net Gain,2024,demo
8,Introduction to Part O,2024,demo
8,Secondary Glazing - Selectaglaze,2024,demo
8,Air leakage & façade performance in façade systems,2024,demo
8,Managing Health & Safety in architectural design,2024,demo
8,Thermal regulation & the performance gap,2024,demo
8,Fire stopping / Products - Envirograf,2024,demo
8,Managing and calculating carbon,2024,demo
134,Trimble ProDesign Introduction Course.,2024,demo
134,Relux Lighting Design Foundation Course,2024,demo
134,Police Crime Provention Academy - Secured by Design,2023,demo
134,Apollo Fire - Updates to BS 5338-1 & 6,2024,demo
134,Pod Point EV Charging CPD Seminar,2024,demo
134,CITB 1 day Course – CDM Training & Exam,2024,demo
134,Whitecroft Lighting - Designing for low carbon versus low energy,2024,demo
135,Building Safety Act 2022 General Training,2024,demo
135,Implications of Building Safety Act,2024,demo
135,Norfolk constructing excellence - Biodiversity Net Gain,2024,demo
135,Good Flat Roofing CPD,2023,demo
135,Norfolk Constructing Excellence Club - Decarbonisation and Traditional Buildings,2023,demo
135,CITB - CDM for Principal Designers ,2024,demo
135,"Norfolk constructing excellence Sustainable Construction (or not!"") Talk",2023,demo
135,Norfolk Constructing Excellence Club -A Skills Crisis,2023,demo
135,Norfolk Constructing Excellence Club -Sustainable Construction,2023,demo
103,Building Safety Act,2024,demo
103,CNC Building Control Q&A,2024,demo
103,Building Materials in the Built Environment,2024,demo
103,ACC Training - Multiple CPD Sessions,2024,demo
103,Flow Drainage Calculation Software,2023,demo
129,Sustainable Drainage Systems Training,2022,demo
129,Active Travel England,2022,demo
129,Good Flat Roofing,2023,demo
129,In-Situ Road Recycling Latest Development On Pavement Recycling,2023,demo
129,Management Principles Workshop,2023,demo
129,Sustainability in Highway Construction,2023,demo
129,Causeway Infrastructure Design Drainage Training,2023,demo
129,"Marshall Water Management Below Ground, Flow Control, Treatment and Attenuation",2023,demo
129,Vegetated Retaining Wall Flex MSE,2024,demo
129,ACC Training - Multiple CPD Sessions,2024,demo
129,Previsico Flood Resilience,2024,demo
129,CNC Building Control Q&A,2024,demo
129,Biodiversity Net Gain Environment Bank,2024,demo
129,Building Safety Act 2022 General Training,2024,demo
129,CITB CDM Principal Designer Training,2024,demo
129,NUAV365 New Technology in different surveying Methods,2024,demo
139,CDM for Principal Designers (with final examination),2024,demo
139,"CIOB Seminar - The Building Safety Act- implications for Clients, Designers & Contractors",2024,demo
139,CIOB Seminar - The new JCT 2024 contracts,2024,demo
139,POD Point CPD - Electrical Vehicle Charging - M&E Best Practice Group,2024,demo
139,Concrete Testing and Investigation CPD,2024,demo
139,CIOB Seminar - Building Regulations & Fire Safety – How the changes are affecting you?,2024,demo
109,CITB CDM For Principle Designers and Designers,2024,demo
137,CIOB - BSAct non high-risk buildings,2024,demo
137,SHP - BSAct: What you need to know,2024,demo
137,Hertfordshire Building Control - Principal dutyholders under the BSAct,2024,demo
137,FSM - Ensuring fire safety in multi-storey car parks,2024,demo
137,FSM - an introduction to BS7273-4: actuation of release mechanisms for doors,2024,demo
137,CIOB (Merseyside) - JCT24 essential knowledge,2024,demo
137,CITB - Fire safety on construction sites,2024,demo
137,CITB - fire safety in buildings,2024,demo
137,CITB - directors role for health and safety,2024,demo
137,CITB - Temporary works: an overview,2024,demo
137,FSM - Fire safety in tall & complex buildings: BS eN54-25 fire detection aned alarm systems,2024,demo
137,CIOB - JCT2024 conditions of contracts,2024,demo
137,"UK Gov - future amendments to AD-B to the building regulations (2025, 2026 & 2029)",2024,demo
137,FSM - PSTN switch-off: Ensuring public safety for emergency phones during transition to digital,2024,demo
137,"WEBINAR: Getting to grips with ‘The Golden Thread’, registering HRB’s with the BSR & creating the information to support the business safety case.",2024,demo
137,"CIOB - BSAct, whats really going on? How the legislation is impacting the industry",2024,demo
137,WEBINAR: Guidance on the specification of bespoke fire doors for specialist environments.,2024,demo
137,CIOB - Grenfells Legacy: reflect and progress conference,2024,demo
137,FPA - History & future of BS8414 cladding testing - RISC501; R135 & BS8135,2024,demo
143,CITB - CDM Principal Designer,2024,demo
143,CSCS - Professional Card Holder,2023,demo
143,Former ICE Norfolk Branch Chair and East of England Committee Member,1998,demo
144,"Introduction to SuDS (Sustainable Drainage Systems), CIWEM",2024,demo
144,"Bridge Inspection Techniques, ICE",2024,demo
144,"Webinar: Innovations in Concrete Technology, The Concrete Centre",2024,demo
144,Health and Safety for Civil Engineering Projects,2024,demo
144,"CPD Seminar: Climate Resilience in Infrastructure Design, Institution of Civil Engineers",2024,demo
62,APS – Principal Designer Compliance training,2024,demo
62,NPS - Building Safety Act 2022 training,2024,demo
72,RIBA Journal online sustainability update 2.5hrs,2025,demo
72,Phase 2 Ground Investigation scoping requirements – 2hrs,2025,demo
72,RIBA Core CPD 2025 - Creating Safe and Healthy Environments – 2hrs,2025,demo
72,Four steps to better fire doorset specification & long term fire safety – 1hr,2025,demo
72,RIBA Core CPD Topic 9: Improving environmental performance of heritage buildings(In practice) – 2hrs,2024,demo
72,Launch Webinar: Inventory of Carbon & Energy (ICE) Database v4.0 – 1hr,2024,demo
72,Green cities are great – live event. Bulgarian Green Building Council – 6 hours,2024,demo
72,2024 RIBA Core CPD Topic 6: Materials and calculating carbon – 2hrs,2024,demo
72,GoToWebinar - Sustainability Series 2024: The changing landscape of Supplementary Cementitious Materials (SCMs): Parts 1& 2 – 3 hrs,2024,demo
72,BSA Training  - 2hrs,2024,demo
59,Completed the RIBA Health and Health and Safety Test,2025,demo
59,Completed RIBA Principal Designer Course,2024,demo
59,Managing Health & Safety in architectural design,2024,demo
116,RIBA CPD: Building Safety Act Principle Designer Pt.2,2024,demo
116,RIBA CPD: Building Safety Act Principle Designer,2024,demo
116,RIBA Accredited: Forbo: Sustainable Linoleum Flooring  and its Contribution to the Built Environment,2024,demo
116,CITB: CDM for Principal Designers and Designers,2024,demo
116,"RIBA Accredited: Tarkett: Slips, Trips and Falls -  Considerations for Flooring Specifications",2023,demo
113,The Chartered Institution of Building Services Engineers 18th Edition,2023,demo
113,Relux Lighting Design Foundation Course,2023,demo
113,CITB 1 day Course – CDM Training & Exam,2024,demo
134,FIA 4-day Course - Fire Detection and Alarm Design BS5839 Pt 1,2025,demo
124,Construction Skills Certification Scheme,2023,demo
137,SEMINAR: Dutyholders under the BSAct / CDM Regs,2025,demo
137,WEBINAR: Investigation of a fatal accident-A directors perspective,2025,demo
145,Building Safety Act ,2024,demo
145,Improving environmental performance of heritage buildings,2024,demo
145,Materials and calculating carbons ,2024,demo
145,Introduction to Part 0,2024,demo
145,"Principle Designer Course, RIBA",2023,demo
146,RIBA Fire Doorset Specification and Long-Term Fire Safety,2025,demo
146,Building Regulations Requirements Tracker ,2025,demo
146,RIBA Colour in Design,2025,demo
146,RIBA Introduction to Part O & Key Design Considerations,2024,demo
146,The Building Safety Act ,2024,demo
101,RIBA Principal Designer Course (CDM Regulations & Building Regulations),2024,demo
101,Building Safety Act 2022 general in-house training,2024,demo
117,JCT Contract Administrator Training Course,2021,demo
117,Management Essentials Training Course,2023,demo
117,CDM Principal Designer Training,2024,demo
148,Building Safety Act CPD,2024,demo
148,Part O Introduction and Key Design Considerations CPD,2024,demo
148,Materials & Carbon Calculation CPD,2024,demo
148,Urban Regeneration & Circular Neighbourhoods CPD,2024,demo
148,Rethinking Resi CPD,2025,demo
119,Designing For Low Carbon Versus Low Energy (CDP),2024,demo
119,CDM For Principal Designers & Designers,2024,demo
119,Apollo BS 5839 Parts 1 & 6 (CDP),2024,demo
119,Relux Foundation Lighting Course,2023,demo
100,CITB - CDM for Principal designers and designers ,2024,demo
100,LIA - Relux foundation course ,2023,demo
149,Non to date (29/04/2025),2025,demo
150,RICS – Introduction to whole life carbon assessment for the built environment,2024,demo
152,ITIL ITSM and PPSO Certification (service management),2002,demo
152,PrInCE 2 Project Management (introduction),2004,demo
152,Database programming,2004,demo
152,First aid training,2006,demo
152,Construction Skills Certification Scheme (CSCS) Professional ,2006,demo
153,Construction Skills Certification Scheme (CSCS),2023,demo
74,APS Building Safety Course,2025,demo
74,JCT 2024 Design & Build Contract Training,2024,demo
74,JCT Contract Administration,2023,demo
74,JCT & NEC Commercial Processes training,2023,demo
74,UKATA Asbestos Accredited Course,2022,demo
74,NEC4: ECC Project Manager Accreditation,2021,demo
85,Construction Skills Certification Scheme (CSCS),2023,demo
154,Construction Skills Certification Scheme (CSCS),2022,demo
154,   SMSTS Site Managers safety Training Scheme                                                        ,2023,demo
154,Temporary Works Co-ordinator Training ,2023,demo
154,Ladder Training / Safe use and Inspection ,2024,demo
99,Galvanising CPD by Galvanizers Association followed by writing and distributing new specification notes.,2025,demo
99,Baseplate design differences between TSD and TCD followed by lessons learnt to best practice group.,2025,demo
99,Bauder Roofing Lunch & Learn,2025,demo
99,AutoDesk Robot Technical Demonstration CPD,2025,demo
99,Presenting at the ICE CEng Journey Event,2025,demo
99,Nicholson – Going Through the Roof CPD,2025,demo
109,Galvanising CPD by Galvanisers Association,2025,demo
109,Bauder Roofing Lunch & Learn,2025,demo
109,Autodesk Robot Technical Demonstration CPD,2025,demo
109,Building Safety act Training,2024,demo
109,CDM Training,2024,demo
115,Construction Skills Certification Scheme (CSCS),2025,demo
115,Building Safety Act 2023,2024,demo
125,Composite Design of Steel Beams,2024,demo
125,Building Safety Act 2023,2024,demo
125,IStructE Journal Reading ,2024,demo
125,CDM for Principal Designers,2024,demo
125,Durability Principles for CLT & Timber,2024,demo
125,CROSS Report Reading,2024,demo
125,Net-Zero Structural Design,2024,demo
68,Construction Skills Certification Scheme (CSCS),2024,demo
68,"JCT 2024 workshop, seminars and group practice note",2024,demo
68,Working at Heights Training,2024,demo
70,Construction Skills Certificate Scheme (CSCS),2024,demo
70,JCT Design and Build 2024 Workshop,2024,demo
70,NEC4 ECC Training Workshop,2022,demo
155,Continuing CPD presentations through the COWs institute,2025,demo
155,Construction Skills Certification Scheme (CSCS),2024,demo
155,Ladder Training / Safe use and Inspection,2025,demo
97,Association of Project Safety – Building Safety Act 7 ½ Hours,2025,demo
97,TATA Steel – Roof Cladding 1 Hour,2024,demo
97,Stradia – Contract Administration Training 7 ½ Hours,2024,demo
97,Norse Consulting – Building Safety Act 1 ½ Hours,2024,demo
97,Working at Heights Training – 4 Hours,2024,demo
97,ICE CPD Various Subjects – 7 ½ Hours,2024,demo
97,Norse Project Management – Building Safety Act 1 ½ Hours,2024,demo
79,JCT Contract Administration Training,2024,demo
79,HHSRS/Decent Homes Qualification,2021,demo
79,Construction Skills Certification Scheme (CSCS),2022,demo
63,HHSRS/Decent Homes Qualification,2021,demo
58,Construction Skills Certification Scheme (CSCS),2024,demo
58,Executive Coaching Course,2023,demo
156,Stradia – NEC Engineering and Construction Contract Training ,2024,demo
156,UKATA – Asbestos Awareness ,2024,demo
156,RICS – Professionalism Module ,2025,demo
3,BS 5839-1 Fundamentals in FD&A UNITS 1&2 - FIA,2025,demo
3,"Equity, diversity & inclusion",2025,demo
3,Metal heath first aider,2025,demo
3,Data protection & freedom of information,2025,demo
158,IES VE,2010,demo
158,Revit MEP 2013 Fundamentals ,2013,demo
158,MagiCAD training ,2023,demo
158,An Introduction to BS5839 pt1 & pt6,2024,demo
160,Construction Skills Certification Scheme (CSCS),2023,demo
160,Adevo Hot Water Services (ASHP) CPD ,2025,demo
161,RICS Construction Conference 2024,2024,demo
162,JCT 2024 Design and Build Contract Training Workshop,2024,demo
162,Building Safety Act Briefing,2024,demo
162,From Concept to Reality: Implementing Passivhaus Principles in Complex Buildings,2023,demo
162,Construction Cost Management Training,2023,demo
16,RIBA Principal Designer Course,2024,demo
164,NEBOSH Fire Safety Training,2022,demo
164,Principal Designer under CDM ,2020,demo
164,2015JCT Contract Administration Training,2019,demo
164,Construction Skills Certification Scheme (CSCS),2011,demo
165,RICS APC Assessment Panel,2024,demo
88,RIBA CPD - Air Leakage and Fire Performance in Façade Systems,2024,demo
88,RIBA Core CPD Topic 6: Ground Investigation Scoping Requirements,2025,demo
88,RIBA Core CPD – Building Contracts & Contract Administration,2025,demo
88,RIBA Core CPD 2025 - Creating Safe and Healthy Environments,2025,demo
88,RIBA Core CPD 2025 - Fee Negotiation: Practical Skills for a Resilient Business,2025,demo
11,RIBA Accredited – Principal Designer CDM & BRegs,2024,demo
4,RIBA Accredited – Principal Designer under CDM 2015,2016,demo
168, Health and Safety & Environmental Awareness (Norse),2025,demo
168,CDM for Principal Designers and Designers (CITB),2024,demo
168,Construction Skills Certification Scheme (CSCS),2023,demo
140,CITB CDM Designer Training,2024,demo
140,Building Safety Act 2022 - General Training Course,2024,demo
140,Construction Skills Certification Scheme (CSCS),2022,demo
89,JCT Contract Administration Training,2024,demo
89,APS Accredited – Principal Designer under CDM 2015,2022,demo
89,Revit Architecture Intermediate Course,2022,demo
89,Introduction to Passivhaus,2021,demo
89,Construction Skills Certification Scheme (CSCS),2020,demo
169,Continuing CPD presentations through the COWs institute,2025,demo
169,Ladder Training / Safe use and Inspection,2025,demo
169,CPD PERFORMANCE OF FIRE RESISTING DOOR ASSEMBLIES  ,2024,demo
169,CIC HSC Training Course,2023,demo
139,Duty Holders in the Building Safety Act & CDM Regulations,2025,demo
139,Construction Skills Certification Scheme (CSCS) – Professionally Qualified Person ,2022,demo
171,Housing Health & Safety Rating System Assessment,2024,demo
171,Envirograf Passive Fire Protection,2024,demo
171,Building Safety Act,2024,demo
171,RAAC,2023,demo
171,RICS Property Defects Seminar,2023,demo
6,Construction Skills Certification Scheme (CSCS),2021,demo
6,RICS CPD log is maintained to ensure that a minimum of 20 hours CPD is recorded per annum as a part of membership requirements.,2025,demo
172,RIBA CPD Fees and Business,2025,demo
172,CIC HSB Training course ,2024,demo
172,Construction Skills Certification Scheme (CSCS),2024,demo
172,Principal Designer CPD lecture,2024,demo
172,Envirograf products CPD,2024,demo
172,Ecological Building Systems CPD,2023,demo
173,I have successfully and continuously complied with the RICS CPD Policy and can evidence this by my online record on the RICS membership portal ,2024,demo
141,Construction Skills Certification Scheme (CSCS) (Expires April 2027),2025,demo
81,RIBA Health and Safety Test. (Mandatory for Chartered Members working on projects in England from 2025),2025,demo
81,RIBA Principal Designer Course. 6-Module programme hosted by experts to help gain skills in the role of Principal Designer.,2025,demo
81,Construction Skills Certification Scheme (CSCS),2025,demo
55,Construction Skills Certification Scheme (CSCS),2024,demo
55,NEC4 PM Training ,2025,demo
93,Construction Skills Certification Scheme (CSCS),2023,demo
174,Safeguarding and Prevent,2025,demo
174,Sustainability ,2024,demo
174,Asbestos Awareness ,2022,demo
174,HS&E MAP – CITB ,2021,demo
174,Management of Pre-Construction H&S CDM-2015,2018,demo
174,ACOP L8 – Water Hygiene ,2014,demo
174,British Sign Language L1 & L2,2010,demo
175,Construction Skills Certification Scheme (CSCS),2021,demo
175,JCT Contract Administration Training,2024,demo
175,Building Safety Act 2022 training,2024,demo
66,BSA Gateway 2 Applications (APS 1hr CPD Webinar),2024,demo
66,JCT 2024 Contracts (Stradia 6Hrs),2024,demo
66,Structural Conservation of Ruins (Historic England 1hr CPD Webinar),2025,demo
66,Building Safety Act 2022: ‘PD & PC new requirements & competence’ (APS virtual 1 day course),2025,demo
66,Structural Assessment of Historic Assets (Historic England 1hr CPD Webinar),2025,demo
66,Norse Group eLearning: Bribery & Corruption; Data Protection; Fraud Awareness (2hrs in total),2025,demo
66,Fire Safety Legislation Update (APS 1hr CPD Webinar),2025,demo
66,Ensuring Asbestos Management Compliance & Competence in Projects (APS 1hr CPD Webinar),2025,demo
66,Norse Group eLearning: CDM Regulations; Health & Safety and Environmental Awareness; Environmental Awareness (2hrs in total),2025,demo
66,Norse Group eLearning: Building Safety Act; Building a Health & Safety Culture; Managing Contractors (2hrs in total),2025,demo
176,RICS/ CIOB CPD requirements,2024,demo
176,RICS/ CIOB CPD requirements,2023,demo
176,RICS/ CIOB CPD requirements,2022,demo
