e_id,eh_company,eh_location,eh_role,eh_start,eh_end,data_origin
100,EstateWorks Consultancy,UK,Apprentice Electrician,1992,1994,demo
149,Nordwick (Central),Central UK,Graduate Mechanical Engineer,2024,,demo
149,TopoPoint UK,UK,Business Development roles out with the engineering sector,2007,2024,demo
150,Nordwick (Central),Central UK,Associate Director: Energy and Carbon,2015,,demo
150,Nordwick (Central),Central UK,Strategic Buildings Carbon Manager,2010,2015,demo
150,Norwyn Holdings,UK,Environmental Leader (Europe),2007,2010,demo
150,Norwyn Holdings,UK,Business Systems Manager,2004,2007,demo
150,BuildQuest Developments,UK,Site Agent and Business Systems Manager,1997,2004,demo
150,Measura Land Services,UK,Engineering inspector,1995,1997,demo
150,Gridstone Surveyors,UK,Highways Technician,1994,1995,demo
15,Nordwick (Central),Central UK,Associate Mechanical Engineer,2021,,demo
15,Nordwick (Central),Central UK,Senior Mechanical Engineer,2019,2021,demo
15,UrbanBound Property,UK,Senior Mechanical Engineer,2015,2019,demo
15,Struktive Construction,UK,Intermediate Mechanical Engineer,2013,2015,demo
15,TerraGuided Surveyors,UK,Mechanical Section Engineer,2010,2013,demo
15,BlueGate Asset Services,UK,Site Engineer/ Section Engineer,2007,2010,demo
13,Nordwick (Central),Central UK,Director – Building Services Engineering,2014,,demo
13,Nordwick (Central),Central UK,Associate Director - Building Services Engineering,2012,2014,demo
13,Nordwick (Central),Central UK,Senior Mechanical Engineer,2006,2014,demo
13,BuildRoute Consultancy,UK,Senior Mechanical Engineer,2006,2006,demo
13,EstateFlow UK,UK,Mechanical Engineer,1999,2006,demo
151,Nordwick Consulting,UK,Project Manager,2023,,demo
151,Nordwick Consulting,UK,Consultant,2022,2023,demo
151,Nordwick Consulting,UK,Graduate Consultant,2021,2022,demo
152,Nordwick (Central),Central UK,Snr Electrical Design Engineer,2013,,demo
152,GeoTrace Surveying,UK,Snr Consulting Engineer,2010,2013,demo
152,ElevationWorks Ltd,UK,Snr Consulting Engineer,2008,2010,demo
152,EstateCrest Group,UK,Snr Design Engineer/PM,2004,2008,demo
152,FieldSpan Land Services,UK,Project Engineer/Developer,2000,2004,demo
152,BuildApex UK,UK,Design Engineer (to Intermediate),1995,2000,demo
153,Nordwick (Central),Central UK,Electrical Engineer,2004,,demo
153,LocusLand Surveyors,UK,Contracts Engineer,1980,2004,demo
74,Nordwick (North),North UK,Manager - Quantity Surveying,2022,,demo
74,Nordwick (North),North UK,Quantity Surveyor,2019,2022,demo
74,Ridgeway Estates,UK,Senior Quantity Surveyor,2001,2019,demo
74,StructaCore Developments,UK,Quantity Surveyor,1996,2001,demo
74,Maplebrook Services,UK,Assistant Quantity Surveyor,1993,1996,demo
85,Nordwick (Central),Central UK,Senior Architect,2021,,demo
85,Cranford Advisory,UK,Senior Architect,2016,2021,demo
85,Wynstead Solutions,UK,Architect,2011,2016,demo
85,Prestonford Ltd,UK,Architectural Assistant (Part II) & Architect,2006,2011,demo
85,Blackridge Operations,UK,Architectural Assistant (Part I),2003,2005,demo
154,Nordwick (Central),Central UK,Clerk of Works,2024,,demo
154,Oakcliffe Services,UK,Senior Site Manager,2019,2024,demo
154,Ravenmere Solutions,UK,Senior Site Manager,2015,2019,demo
154,Millbrook Associates,UK,Site Manager,2012,2015,demo
99,Nordwick (Central),Central UK,Senior Structural Engineer,2022,,demo
99,Nordwick (Central),Central UK,Structural Engineer,2017,2022,demo
99,Broadcrest Group,UK,Graduate Structural Engineer,2016,2017,demo
99,Havenford Services,UK,Technical Professional,2013,2016,demo
109,Nordwick (Central),Central UK,Apprentice Structural Engineer,2019,,demo
115,Nordwick Consulting,UK,Graduate Structural Engineer,2023,,demo
125,Nordwick (Central),Central UK,Associate Director Structural Engineering,2016,,demo
125,Parkline Enterprises,UK,Principal Structural Engineer,2016,2018,demo
125,Riverview Operations,UK,Principal Structural Engineer,2013,2016,demo
125,Langmere Solutions,UK,Senior Structural Engineer,2013,2016,demo
125,Elmway Group,UK,Senior Structural Engineer,2008,2013,demo
125,Fairview Services,UK,Structural Engineer,2001,2008,demo
125,Waymark Associates,UK,Structural Engineer,1999,2001,demo
125,Sandcliffe Solutions,UK,Project Engineer,1998,1999,demo
125,Claremont Group,UK,Graduate Structural Engineer,1997,1998,demo
68,Nordwick (North),North UK,Senior Chartered Quantity Surveyor,2017,,demo
68,Nordwick (North),North UK,Senior Quantity Surveyor,2012,2017,demo
68,Lindale Partners,UK,Group Quantity Surveyor,2007,2012,demo
68,Lindale Partners,UK,Senior Quantity Surveyor,2004,2007,demo
68,Lindale Partners,UK,Quantity Surveyor,1995,2004,demo
70,Nordwick (North),North UK,Quantity Surveyor,2012,,demo
70,Greenholm Enterprises,UK,Capital Allowances Surveyor,2011,2012,demo
70,Wentworth Advisory,UK,Quantity Surveyor,1996,2011,demo
155,Nordwick (North),North UK,Clerk Of Works,2004,,demo
155,Nordwick (North),North UK,Clerk Of Works,1985,2004,demo
155,Blackthorne Advisory,UK,Senior site manager,1981,1985,demo
155,Blackthorne Advisory,UK,Joiner & Multi trade supervisor,1977,1982,demo
155,Newhaven Operations,UK,Apprentice Joiner,1973,1977,demo
155,Redshore Solutions,UK,Apprentice Joiner,1971,1973,demo
97,Nordwick (Central),Central UK,Associate Surveyor,2024,,demo
97,Nordwick (Central),Central UK,Contracts Consultant,2021,2024,demo
97,Nordwick (Central),Central UK,Senior Quantity Surveyor,2018,2021,demo
97,Nordwick (Central),Central UK,Quantity Surveyor,2015,2018,demo
97,Bluecrest Ltd,UK,Clerk of Works,2009,2015,demo
97,Casterton Services,UK,Assistant Quantity Surveyor,2008,2009,demo
97,Wentworth Advisory,UK,Assistant Quantity Surveyor,2005,2008,demo
79,Nordwick (Central),Central UK,Building Surveyor,2023,,demo
79,Greywood Partners,UK,Architectural Assistant (Part II),2022,2023,demo
79,Ashwood Enterprises,UK,Architectural Assistant (Part II),2021,2022,demo
63,Nordwick (North),North UK,Senior Quantity Surveyor,2019,,demo
63,Nordwick (North),North UK,Quantity Surveyor,2017,2019,demo
63,Cranley Group,UK,Quantity Surveyor,2015,2017,demo
63,Nordwick (North),North UK,Asst/Quantity Surveyor,2004,2015,demo
63,Whitehall Operations,UK,Trainee/Assistant Quantity Surveyor,1996,2004,demo
58,Nordwick (Central),Central UK,Associate Director - Architecture,2024,,demo
58,Nordwick (Central),Central UK,Associate Architect/Team Leader,2014,2024,demo
58,Nordwick (Central),Central UK,Senior Architect,2013,2014,demo
58,Nordwick (Central),Central UK,Architect,2012,2013,demo
58,Cranford Advisory,UK,Architect,2011,2012,demo
58,Brookgate Associates,UK,Architect/Arch Assistant Part II,2006,2017,demo
58,Brookgate Associates,UK,Architectural Assistant Part I,2003,2004,demo
58,Blackwood Services,UK,Work Experience,2002,2003,demo
156,Nordwick (North),North UK,Quantity Surveyor,2025,,demo
156,Northridge Ltd,UK,Assistant Quantity Surveyor,2023,2024,demo
156,Longwood Group,UK,Assistant Quantity Surveyor,2023,2023,demo
156,Brookmere Associates,UK,Assistant Quantity Surveyor,2021,2023,demo
157,Daybridge Enterprises,UK,Teacher of English,2007,2014,demo
157,Clearford Services,UK,Project Manager,2014,2018,demo
157,Nordwick (London),"London, UK",Project Management,2018,,demo
3,Nordwick (South),South UK,Associate Director,2009,,demo
3,Nordwick (Central),Central UK,Senior Electrical Eng/Team Leader,2003,2009,demo
3,Hazelgate Group,UK,Electrical Engineer,2001,2002,demo
3,Elmshore Solutions,UK,Technician,1996,2001,demo
158,Nordwick Consulting,UK,Electrical Engineer,2022,,demo
158,Nordwick Consulting,UK,Assistant Building Services Engineer,2004,2022,demo
158,Willowbrook Services,UK,CAD Technician,2003,2004,demo
132,Nordwick (Central),Central UK,Project Manager,2021,,demo
132,Alderline Enterprises,UK,Project Manager,2020,2021,demo
132,Pinecrest Group,UK,Project Coordinator,2017,2019,demo
132,Meadowgate Associates,UK,Project Administrator,2015,2017,demo
159,Nordwick (London),"London, UK",Associate Director of Quantity Surveying,2016,,demo
159,Stonehill Services,UK,Head of Quantity @ Building Surveying,2006,2016,demo
159,Riverside Holdings,UK,Senior Quantity Surveyor,1997,2006,demo
159,Norwyn Holdings,UK,Quantity Surveyor/Estimator,1982,1997,demo
159,Oakford Operations,UK,Quantity Surveyor/Estimator,1977,1982,demo
160,Nordwick (London),"London, UK",Senior Mechanical Services Design Engineer,2019,,demo
160,Cranebrook Solutions,UK,Senior Design Engineer,2018,2019,demo
160,Lincrest Group,UK,Senior Design Engineer,2017,2018,demo
160,Northgate Services,UK,Senior Design Engineer,2016,2017,demo
161,Nordwick (Central),Central UK,Project Manager,2004,,demo
161,Rivermount Partners,UK,QS/PM,2000,2004,demo
161,Downwood Associates,UK,Quantity Surveyor,1998,2000,demo
161,Rivermount Partners,UK,Assistant Quantity Surveyor,1995,1997,demo
162,Nordwick (Central),Central UK,Quantity Surveyor,2007,,demo
163,Nordwick (Central),Central UK,Senior Quantity Surveyor,2019,,demo
163,Hazelway Solutions,UK,Senior Quantity Surveyor,2015,2019,demo
163,Ashford Enterprises,UK,Managing Quantity Surveyor,2014,2015,demo
163,Windale Operations,UK,Senior Estimator,2013,2014,demo
163,Brookpoint Group,UK,Senior Estimator,2009,2013,demo
163,Highfield Services,UK,Senior Estimator,2000,2009,demo
163,Moorland Solutions,UK,Senior Quantity Surveyor,1998,2000,demo
163,Neovara Systems,UK,Senior Quantity Surveyor,1990,1998,demo
16,Nordwick (London),London UK,Senior Architect,2023,,demo
16,Stratifyx Consultants,UK,Associate,2019,2023,demo
16,Altura Insight,UK,Associate Director,2003,2019,demo
16,Vexaro Data Group,UK,Architectural Assistant,2002,2003,demo
16,Quantixa Analytics,UK,Job Captain,1998,2002,demo
122,Nordwick Consulting,UK,Associate Interior Designer,2014,,demo
122,UK University,UK,Lecturer (HPL) Interior Design,2018,2023,demo
122,UK University,UK,Flexible Tutor Interior Design,2023,,demo
122,Optivance UK,UK,Senior Interior Designer,2012,2014,demo
122,Nordwick (Central),Central UK,Interior Design Manager,2008,2012,demo
164,Nordwick (Central),Central UK,Building Surveyor/Architectural Technician,2025,,demo
164,Nexora Group,UK,Building Surveyor/Architectural Technologist,2024,2025,demo
164,Lumora Analytics,UK,Building Surveyor,2023,2024,demo
164,Fluxion Services,UK,Repairs Officer (PO2),2015,2023,demo
165,Nordwick (London),"London, UK",Senior Quantity Surveyor,2021,,demo
165,Datacrest Consulting,UK,Senior Quantity Surveyor,2019,2021,demo
165,Innovara Solutions,UK,Senior Quantity Surveyor,2016,2019,demo
165,Altius Strategy Group,UK,Senior Quantity Surveyor,2013,2016,demo
165,Eastbridge Services,UK,Senior Quantity Surveyor,2005,2012,demo
165,Syntera Insight,UK,Project Surveyor,2001,2004,demo
165,AxionData UK,UK,Quantity Surveyor,2000,2001,demo
165,Stratiform Analytics,UK,Tender and Site QS,1998,1999,demo
165,Ovantis Consultants,UK,Project Executive,1996,1998,demo
11,Nordwick (London),London UK,Associate Director - Architect,2017,,demo
11,Nordwick (London),"London, UK",Senior Associate - Architect,2012,2017,demo
11,Marlowe Strategic Services,UK,Associate Architect,2007,2012,demo
11,Trinitech Services,UK,Senior Architect,2003,2007,demo
11,Brackenmere Group,UK,Director,1996,2002,demo
11,Brackenmere Group,UK,Associate & Project Architect,1991,1996,demo
4,Nordwick (Central),Central UK,Chartered Architect,2011,,demo
4,Haversham Partners,UK,Chartered Architect,2009,2010,demo
4,Haversham Partners,UK,Architectural Assistant (Part II),2007,2009,demo
4,Haversham Partners,UK,Architectural Assistant (Part I),2005,2006,demo
5,Nordwick (Central),Central UK,Architectural Technologist,2017,,demo
5,Optiline Intelligence,UK,Architectural Technologist,2014,2017,demo
167,Nordwick (London),UK,Architectural Assistant (Part II),2023,,demo
167,Nordwick (London),UK,Architectural Assistant (Part I),2022,2023,demo
167,Nordwick (London),UK,Architectural Assistant (Part I),2019,2020,demo
168,Nordwick (Central),Central UK,Building Surveyor,2020,,demo
168,Nordwick (Central),Central UK,Building Surveyor (Asbestos Management),2013,2020,demo
168,Nordwick (Central),Central UK,Facilities Officer,2000,2013,demo
168,Devoncrest Ltd,UK,"Land Surveyor, Technical Draughtswoman, Admin Assistant",1989,2000,demo
140,Nordwick Consulting,UK,Chartered Architect,2023,,demo
140,Nordwick Consulting,UK,Chartered Surveyor,2019,2023,demo
140,Nordwick Consulting,UK,Building Surveyor,2003,2019,demo
140,Dashpoint Solutions,UK,Trainee Building Surveyor,2002,2003,demo
89,Nordwick (North),North UK,Chartered Architect,2020,,demo
89,Vizionyx Ltd,UK,Architectural Assistant (Part II),2017,2020,demo
89,Techspire Consulting,UK,Architectural Assistant (Part II),2015,2017,demo
89,Novaform Digital,UK,Architectural Assistant (Part I),2013,2014,demo
169,Nordwick Consulting,UK,Clerk Of Works,2019,,demo
169,Calderstone Advisory,UK,Site Manager,2017,2019,demo
169,Quantalogic Group,UK,Contracts Manager,2014,2017,demo
169,Stratosera Solutions,UK,Project Manager,2010,2014,demo
169,Intellivex Systems,UK,Project Manager,2008,2009,demo
169,Calderstone Advisory,UK,Contracts Manager,2001,2008,demo
169,Captrix Analytics,UK,Site manager,1990,2001,demo
169,Nexvue Services,UK,Trainee Site manager,1990,1992,demo
170,Nordwick (Central),Central UK,Associate Landscape Architect,2025,,demo
170,Nordwick (London),UK,Associate Landscape Architect,2020,2025,demo
170,Statara Consulting,UK,Senior Landscape Architect,2019,2020,demo
170,Codenex Systems,UK,Associate Landscape Architect,2014,2019,demo
170,Infinium Insight,UK,Project Landscape Architect,2013,2014,demo
170,TectraData UK,UK,Landscape Architect,2012,2013,demo
170,AnalytiCore Consultants,UK,Landscape Architect,2012,2012,demo
170,Vertaxa Solutions,UK,Landscape Architect,2011,2011,demo
170,Optivox Group,UK,Landscape Architect,2004,2010,demo
139,Nordwick (Central),Central UK,Associate Director Building Surveying,2023,,demo
139,Nordwick (Central),Central UK,Building Surveyor,2016,2023,demo
139,Nordwick (Central),Central UK,Facilities Manager – Scottow Enterprise Park,2013,2016,demo
139,Nordwick (Central),Central UK,Facilities Management Officer,2004,2013,demo
171,Nordwick (Central),Central UK,Building Surveyor,2025,,demo
171,Nordwick (London),UK,Building Surveyor,2021,2025,demo
171,Quantisera Ltd,UK,Building Surveyor,2020,2021,demo
171,Alloydix Systems,UK,Building Surveyor,2019,2020,demo
171,Novexria Consulting,UK,Building Surveyor,2018,2019,demo
171,Syntri Logic,UK,Building Surveyor,2017,2019,demo
171,Datametric UK,UK,Assistant Building Surveyor,2017,2017,demo
171,GenerateIQ Solutions,UK,Assistant Building Surveyor,2014,2017,demo
171,Ultivara Systems,UK,Carpenter & Joiner,2004,2017,demo
6,Nordwick (Central),Central UK,Associate Director,2025,,demo
6,Nordwick (London),UK,Associate Director,2017,2025,demo
6,Nordwick (London),UK,Chartered Building Surveyor,2015,2017,demo
6,Greenfall Advisory,UK,Building Surveyor,2015,2015,demo
6,Nordwick (Central),Central UK,Building Surveyor,2012,2015,demo
172,Nordwick (Central),Central UK,Senior Project Manager,2023,,demo
172,Axentro Analytics,UK,Senior Architect,2021,2023,demo
172,IntegraData Group,UK,Project Architect,2020,2021,demo
172,Dynamicsight Ltd,UK,Part II & Architect,2016,2020,demo
172,Elevion Strategy,UK,Part I,2012,2013,demo
173,Nordwick (Central),Central UK,Senior Building Surveyor,2025,,demo
173,Nordwick (London),UK,Senior Building Surveyor,2016,2025,demo
173,Greenfall Advisory,UK,Building Surveyor,2015,2016,demo
173,Analysion Consultancy,UK,Architectural Technician,2003,2015,demo
173,Nuvera Systems,UK,Property Surveyor,1996,2003,demo
103,Nordwick Consulting,UK,Engineer,2023,,demo
103,Techline Insight,UK,Engineer,2020,2023,demo
103,Northcrest Partners,UK,Senior Technician,2020,2020,demo
103,Northcrest Partners,UK,Technician,2018,2020,demo
103,Northcrest Partners,UK,Assistant / Junior Technician,2017,2018,demo
103,Northcrest Partners,UK,Apprentice / Trainee,2015,2017,demo
105,Trivion Services,UK,Trainee Mechanical Estimator,2002,2003,demo
105,Denwick Solutions,UK,Trainee Mechanical Estimator before progressing to Mechanical Design Engineer,2003,2007,demo
105,Nordwick (Central),Central UK,Mechanical Design Engineer progressing to Senior Mechanical Design Engineer,2007,,demo
141,Nordwick (Central),Central UK,Associate – Building Services Engineering Manager,2023,,demo
141,Nordwick (Central),Central UK,Senior Building Services Engineer,2018,2023,demo
141,Nordwick (Central),Central UK,Building Services Engineer,2004,2018,demo
141,Valnor Group,UK,Mechanical Services Contracts Manager,1996,2004,demo
141,Solbreck Consulting,UK,Mechanical Services Engineer,1993,1996,demo
141,Haverin Services,UK,Mechanical Services Engineer,1991,1993,demo
141,Bankmore Consulting,UK,Mechanical Services Design Engineer,1990,1991,demo
81,Nordwick Consulting,UK,Associate Architect,2015,,demo
81,Nordwick (North),North UK,Project Architect / Associate Architect,2008,2015,demo
81,Coldham Group,UK,Architectural Assistant (PartI and Part II),2003,2008,demo
55,Nordwick (North),North UK,Chartered Quantity Surveyor,2024,,demo
55,Newthorpe Services,UK,Senior Cost Manager,2023,2024,demo
55,Westmere Holdings,UK,Project Cost Consultant,2021,2023,demo
55,Westmere Holdings,UK,Assistant Cost Consultant,2020,2021,demo
55,Westmere Holdings,UK,Graduate Cost Consultant,2018,2020,demo
93,Nordwick (North),North UK,Architectural Technician,2016,,demo
93,Nordwick (North),North UK,Senior Architectural Assistant,2004,2016,demo
93,Welland Partners,UK,"Model Maker, Architectural Assistant",1988,2004,demo
93,Fairbrook Ltd,UK,Model Maker,1983,1988,demo
174,Nordwick (Central),Central UK,Project Manager,2022,,demo
174,Nordwick (London),London UK,"Building Services Engineer, Assistant BSE.",2013,2022,demo
174,Highgate Consulting,UK,"Residential Manager, Senior Practitioner, Team Leader",2003,2013,demo
175,Nordwick (Central),Central UK,Associate Director - Consulting,2014,,demo
175,Nordwick (Central),Central UK,Associate Director - Operations,2011,2014,demo
175,Nordwick (Central),Central UK,DfE Contract Manager,2008,2011,demo
175,Devoncrest Ltd,UK,Capital Project Manager,2005,2008,demo
175,Devoncrest Ltd,UK,Principal Finance Officer,2003,2005,demo
175,Devoncrest Ltd,UK,School Support Finance Manager,1999,2003,demo
66,Nordwick (North),North UK,Senior Building Surveyor,2012,,demo
66,Crowthorne Services,UK,Regional Building Surveyor,2004,2012,demo
66,Millhaven Group,UK,Building Surveyor /Clerk of Works (Temporary),2004,2004,demo
66,Darlington Systems,UK,Technical Officer / Building Surveyor (Temporary),2003,2004,demo
66,Rudgate Solutions,UK,Condition Surveyor,2002,2003,demo
66,Linshaw Consulting,UK,Carpenter/Joiner/Shopfitter,1987,2002,demo
176,Nordwick Consulting,UK,Associate Quantity Surveyor,2025,,demo
176,Nordwick (London),UK,Associate Quantity Surveyor,2019,2025,demo
176,Eastbridge Services,UK,Associate,2016,2019,demo
176,Rawson Group,UK,Partner,2007,2016,demo
176,Faircrest Solutions,UK,Associate Director,2001,2007,demo
176,Hawkin Services,UK,Senior Cost Consultant,2000,2001,demo
176,Silvergate Plc,UK,Principal Surveyor,1994,2000,demo
176,Penford Solutions,UK,Project Surveyor,1987,1994,demo
177,Nordwick (Central),Central UK,Quantity Surveyor,2024,,demo
177,Stonemark Ltd,UK,Quantity Surveyor,2001,2023,demo
177,Kendale Services,UK,Housing Manager,1995,2001,demo
177,Linrock Group,UK,Graduate Quantity Surveyor,1989,1992,demo
177,Birkby Consulting,UK,Student Quantity Surveyor,1987,1988,demo
178,Nordwick (Central),Central UK,Building Surveyor,2016,,demo
178,Northwell Solutions,UK,Maintenance Surveyor,2016,2016,demo
178,Eastwell Operations,UK,Planned Responsive Voids Surveyor,2011,2015,demo
178,Southcrest Consulting,UK,Building Estates Support Co-ordinator,2002,2011,demo
178,Westlyn Services,UK,Maintenance Surveyor,2000,2002,demo
178,Westford & Denton,UK,Planned Maintenance Surveyor,1992,2000,demo
94,Nordwick (Central),Central UK,Chartered Architect,2014,,demo
94,Calderwick Group,UK,Architectural Assistant (Part II) / Project Architect,2012,2014,demo
94,Steadford Group,UK,Architectural Assistant (Part II),2011,2012,demo
94,Stonebrook UK,UK,Architectural Assistant (Part II),2010,2013,demo
94,Steadford Group,UK,Architectural Assistant (Part I),2007,2008,demo
135,Nordwick (Central),Central UK,Assistant Project Manager,2022,,demo
135,Ribston Associates,UK,Delivery Office Manager (DM4),2001,2022,demo
135,Weybridge Solutions,UK,Inspection Technician,1993,2001,demo
75,Nordwick (North),North UK,Senior Building Surveyor,2023,,demo
75,Nordwick (North),North UK,Building Surveyor,2021,2023,demo
75,Nordwick (North),North UK,Graduate Building Surveyor,2020,2021,demo
75,Nordwick (North),North UK,Trainee Building Surveyor,2018,2020,demo
64,Nordwick (Central),Central UK,Part 2 Architectural Assistant,2022,,demo
64,Penthorpe Services,UK,Part 1 Architectural Assistant,2020,2022,demo
179,Nordwick (North),North UK,Assistant Quantity Surveyor,2025,,demo
179,Greyfell Consulting,UK,Assistant Quantity Surveyor,2023,2025,demo
179,Branford Group,UK,Trainee Quantity Surveyor,2021,2022,demo
180,Nordwick Consulting,UK,Structural Technician,2019,,demo
180,Crestborne Solutions,UK,Structural Technician,2017,2019,demo
180,Nordwick Consulting,UK,Structural Technician,2014,2017,demo
