pm_name,pm_location,pm_client,pm_notes,data_origin
South West UK County Council 1: New Community Centre Hub,,South West UK County Council 1,,demo
UK College 2: New Mathematics Buildings,,UK College 2,,demo
South West UK County Council 1: SEMH School Conversion,,South West UK County Council 1,,demo
South West UK County Council 1: Education Campus Expansion,,South West UK County Council 1,,demo
Education Trust 3: New Primary School,,Education Trust 3,,demo
South West UK County Council 1: Country Park Specialist Centre,,South West UK County Council 1,,demo
Private Company 28: UK University English Language Teaching Centre,,Private Company 28,,demo
Private Company 28: UK University Student Accomodation,,Private Company 28,,demo
Private Company 29: UK Arena VRF system,,Private Company 29,,demo
Private Company 30: UK Shopping Centre,,Private Company 30,,demo
East UK Borough Council 2: Affordable Housing Redevelopment,,East UK Borough Council 2,,demo
East UK District Council 3: New Residential Passivhaus,,East UK District Council 3,,demo
East UK District Council 2: Riverside Planning Consultancy,,East UK District Council 2,,demo
North UK City Council 1: Sports Pitches,,North UK City Council 1,,demo
North UK City Council 1: New Specialist Housing,,North UK City Council 1,,demo
North UK City Council 1: Planned Maintenance Programme,,North UK City Council 1,,demo
North UK City Council 1: Conversion and Building refurbishment,,North UK City Council 1,,demo
London UK Borough Council 1: Change of Use - New Shop Fronts and Refurbishment,,London UK Borough Council 1,,demo
East UK County Council 1: 1FE Secondary Academy Expansion 3,,East UK County Council 1,,demo
Private Company 31: Outline Residential Planning Application,,Private Company 31,,demo
East UK County Council 1: Secondary Academy Expansion 5,,East UK County Council 1,,demo
East UK County Council 1: County Hall Refurbishment Project,,East UK County Council 1,,demo
East UK County Council 1: Academy Refurbishment Works,,East UK County Council 1,,demo
East UK Town Council 2: Town Hall,,East UK Town Council 2,,demo
East UK County Council 1: Town Museum,,East UK County Council 1,,demo
London UK Airport Hanger Redevlopment,,London UK Airport,,demo
East UK County Council 1: New SEN School 4,,East UK County Council 1,,demo
East UK District Council 3: Housing Development,,East UK District Council 3,,demo
Nordwick Care: East UK Care Facility Expansion,,Nordwick Care,,demo
West County Constabulary: New Headquarters,,West County Constabulary,,demo
UK University 2: Study Refurbishment,,UK University 2,,demo
Private Company 32: UK Hotel Demolition,,Private Company 32,,demo
East UK County Council 1: New SEN School 6,,East UK County Council 1,,demo
East UK County Council 1: New 420 Pupil Primary School,,East UK County Council 1,,demo
North UK City Council 1: Town Hall Roofing and Windows,,North UK City Council 1,,demo
North UK City Council 1: Central Library Community Hub Refurbishment,,North UK City Council 1,,demo
North UK City Council 1: Art Gallery/Central Library Roof,,North UK City Council 1,,demo
East UK County Council 1: New SEN teaching Block and Hydrotherapy Pool,,East UK County Council 1,,demo
East UK County Council 1: Primary School Topographical survey,,East UK County Council 1,,demo
East UK County Council 1: Care Home Topographical survey,,East UK County Council 1,,demo
South UK Unitary Council 1: Recycling Centres,,South UK Unitary Council 1,,demo
East UK County Council 1: Landfill Site Monitoring & Survey Programme,,East UK County Council 1,,demo
East UK County Council 1: Drone Environmental Monitoring Project,,East UK County Council 1,,demo
East UK County Council 1: Measured Building Survey,,East UK County Council 1,,demo
East UK County Council 1: New Primary Expansion,,East UK County Council 1,,demo
East UK County Council 1: Secondary Academy SRB Expansion 14,,East UK County Council 1,,demo
East UK County Council 1: General Purpose Barns,,East UK County Council 1,,demo
London UK Borough Council 1: New Multi Use Centre,,London UK Borough Council 1,,demo
London UK Borough Council 1: New Modular Teaching Block,,London UK Borough Council 1,,demo
London UK Borough Council 1: New Teaching Block and Activity Centre,,London UK Borough Council 1,,demo
East UK County Council 1: Secondary Academy Expansion 7,,East UK County Council 1,,demo
East UK County Council 1: Watton Junior School Expansion,,East UK County Council 1,,demo
East UK County Council 1: New 2FE Primary School 1,,East UK County Council 1,,demo
